Group,Name,Job,Required Rank,Description,Cooldown,Icon
edict,Abiding Death,Bounty Hunter,1,Price for death warrant Edict is discounted by 10% + Intimidate Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/e/e3/Talent_money_edict_normal.png?version=3c3785d669fd0b12f296883aa628e5cb
,Acrobatic Dive,Pirate,5,"Buffs Ship with +25% Accuracy, +15 Range Change, -10 Escape for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Advancing Front,Pistoleer,8,"In crew combat, Pistol Attack with +10% Ranged Damage, +20% Armor Piercing, +35% Critical, advances 1 slot",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Aggressive Advance,Exo-Scout,1,"In crew combat, Rifle Attack, advances 1 slot. Successful attack Buffs yourself with +2 Initiative, +25% Ranged Accuracy, +25% Armor Piercing, +25% To Resist Debuffs for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Aimed Focus,Pistoleer,1,"In crew combat, Buff yourself with +25% Ranged Accuracy, +25% All Damage, +10% Critical for 3 Turns, Restores (10 + 0 Evasion) Morale",Costs 6 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
orbit,Alert Scanner,Electronics Tech,1,"Upon entering the orbit of a new system, chance of learning a Rumor",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/6/68/Talent_elo_alertscanner_normal.png?version=3b1cda08b3992afde78ce3c133764804
artifacts,Artifact Hunter,Explorer,5,"When selling Xeno Artifacts, increase the profit of the deal by 25% + Explore Skill",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/5c/Talent_explorer_profit_artifacts_normal.png?version=390a7b1ea4062d10f1f9691fe5b3d39f
doctor,Assisted Care,Doctor,1,Reduces the price for medical care at the Doctor by 10% + Doctor Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/50/Talent_doctor_assistedcare_normal.png?version=0dbc95e21db666f099814dfaf731b38f
upgrade,Assisted Installation,Engineer,5,Discounts any upgrade of a ship component at the Starport by 10% + Repair Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/53/Talent_money_repair_normal.png?version=3d4019c2d7078b6f4cdfafcf42e1eced
skill save,Attentive Overhaul,Engineer,1,"Automatically passes a failed Repair test in any situation, including wild zone repairs or deep space travel",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/0/0a/Talent_skill_repair_normal.png?version=735a308765027bba133b7ef578bbc088
skill save,Aura of Command,Commander,1,"Automatically passes a failed Command test in any situation, including deep space travel, mutiny or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/b/b1/Talent_skill_command_normal.png?version=c33b33e3f2b10806ec70ed4fa036bf3f
,Backline Leader,Soldier,5,"In crew combat, Buffs entire team with +10% Ranged Accuracy, +10% All Damage, +10% Armor, +25% To Resist Debuffs for 3 Turns",Costs 10 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
smuggle,Backroom Deal,Smuggler,1,"When attempting to access a Black Market, replace a risk card with a Market Access card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/9/9a/Talent_blackmarket_upgrade_normal.png?version=8a803b16e4735cd51620120e3ee1ab6e
,Balanced Blade,Swordsman,1,"In crew combat, Blade Attack. Successful attack Buffs yourself with +25% Blade Accuracy, +10% Melee Damage, +10% Armor Piercing, +25% Parry for 2 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Barked Order,Commander,5,"In crew combat, intimidating command causes -25% All Accuracy, -25% All Damage for 3 Turns, knocks target back 1 slot",Costs 12 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Barrel Roll,Pirate,5,"Buffs Ship with -25% Dmg, +35% Defense, +10% Shield, -10 Escape for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
victory,Battle Damage Repair,Crew Dog,8,"In the aftermath of a ship battle, repair one Ship Component damage equal to 10% + Repair Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/d/dc/Talent_victory_battle_dmg_normal.png?version=c91f58ea977e73fa98db4c87cf2ceab5
boarding,Bio-Agent Bomb,Combat Medic,5,"After a successful Boarding, release deadly bio-agents into the enemy ship's ventilation; +10 Morale Dmg/Turn, +25 Crew Dmg/Turn for next 4 Turns",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/7/73/Talent_boarding_cm_biobomb_normal.png?version=04d360d11e82d5b89d9673619f1c0523
,Bio-Agent Flechette,Exo-Scout,1,"In crew combat, Crippling Rifle Attack causes -25% All Damage, +20 Bio-Poison Damage for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Bio-Poison Grenade,Combat Medic,5,"In crew combat, Grenade Attack hits 2 targets with 31-50 Dmg and Cripples with -2 Initiative, +14 Bio-Poison Damage, -25% Parry, -25% Dodge, -10 Bio-Poison Resist for 3 Turns",Costs 16 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
